model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,termination_reason,failure_attribution,navigation_error,start_pose,final_pose,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity,execution_profile,desired_speed,high_level_controller,model_native_high_level
ticvla,dynanav_nonoutdoor_retry,dynanav_011,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,0,0,True,success,success,1.493024847,"[9.703621864318848, 2.7898573875427246]","[-2.9698681831359863, -1.585974097251892]",1.0,13.51858751097006,14.499999998999998,0,0,0.0,0,0,0.040711371928242084,0.02876964956521988,0.06113562732934952,1.1338489055633545,0.03934611963993269,0.0013652524682990414,20.06546830294961,19.12336396594535,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_012,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,10,0,True,success,success,1.491410546,"[9.702887535095215, 2.7893500328063965]","[-2.9341843128204346, -1.5749539136886597]",1.0,13.471266185834835,14.439999999,0,0,0.0,0,0,0.038842098841028246,0.029057122766971588,0.04894756413996217,1.1296826601028442,0.03755540442284491,0.0012866947598916163,20.05986162295808,18.800677386341533,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_013,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,20,0,True,success,success,1.495617794,"[9.704730987548828, 2.79062819480896]","[-3.005831241607666, -1.4449048042297363]",1.0,13.52537382419899,14.5,0,0,0.0,0,0,0.04050256631581496,0.028950059786438942,0.06338536739349365,1.1194164752960205,0.03904825874359895,0.0014543074169955778,20.05214818755222,19.711526501791564,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_014,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,30,0,True,success,success,1.482168965,"[9.701432228088379, 2.788347005844116]","[-3.016659736633301, -1.5229631662368774]",1.0,13.551533056522752,14.48,0,0,0.0,0,0,0.038743745033622635,0.02915158122777939,0.04781162738800049,1.10858154296875,0.037416685967052235,0.001327058881626907,20.05492553361587,19.297050914162625,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_015,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,40,0,True,success,success,1.498283107,"[9.705106735229492, 2.790886640548706]","[-2.9282214641571045, -1.5646311044692993]",1.0,13.496178463182483,14.440000000000001,0,0,0.0,0,0,0.03922232583697353,0.028488625772297382,0.05805719066411256,1.1097235679626465,0.03776599883234927,0.0014563269580581358,20.047680432932996,19.146315145905774,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_016,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,0,0,True,success,success,1.497191009,"[7.378359794616699, 1.5385981798171997]","[-10.712468147277832, 10.213751792907715]",0.8548501944703181,25.071165919625336,25.919999998999998,0,0,0.0,0,0,0.038094724315827284,0.0291017796844244,0.07872811071574684,1.1175272464752197,0.0367418147740871,0.001352909406991749,20.029055188640516,19.57643338642788,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_017,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,10,0,False,timeout,inconclusive_timeout,18.091845948,"[7.378329277038574, 1.5390039682388306]","[5.760628700256348, 12.073596954345703]",0.0,69.03338173904073,95.06,0,0,0.0,0,0,0.03424252138566424,0.029322883114218712,0.07613318897783755,1.092024803161621,0.03288184424866237,0.001360677272281937,20.007000493012843,18.081013593893655,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_018,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,20,0,True,success,success,1.495329823,"[7.378298759460449, 1.5394105911254883]","[-10.73741340637207, 10.280534744262695]",0.8477070550146966,25.281973487359153,26.12,0,0,0.0,0,0,0.03545103493524948,0.02857255097478628,0.061582292430102825,1.1077587604522705,0.034135683796193916,0.0013153510280972114,20.04454573471354,19.784743557137876,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_019,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,30,0,True,success,success,1.480743574,"[7.378391265869141, 1.5381922721862793]","[-10.660224914550781, 10.028277397155762]",0.8796859366535649,24.363562967480327,25.16,0,0,0.0,0,0,0.038937544685845475,0.029408473521471024,0.0883780181407928,1.1157194375991821,0.037632402199871684,0.001305142255043801,20.03757446869608,19.384397644460467,False,,,,
ticvla,dynanav_nonoutdoor_retry,dynanav_020,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,40,0,True,success,success,1.499953058,"[7.378391265869141, 1.5381922721862793]","[-10.730262756347656, 10.21544361114502]",0.8225366005717977,26.056328307296102,27.239999999,0,0,0.0,0,0,0.03632642475239346,0.029042014852166176,0.06746232658624642,1.0551851987838745,0.03502800545135464,0.0012984195966552594,20.043962362274694,19.642924656818685,False,,,,
