model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,termination_reason,failure_attribution,navigation_error,start_pose,final_pose,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
omnivla,simple_nonoutdoor_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,True,success,success,1.499036877,"[8.020156860351562, -0.00430847704410553]","[9.488022804260254, -0.039960380643606186]",1.0,1.4683937266209302,4.299999999,0,0,0.0,0,0,0.14428901217050022,0.12233202531933784,0.18475977554917278,0.5296476483345032,,,20.30432679880873,19.896918058813355,False
dualvln,simple_nonoutdoor_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,False,timeout,inconclusive_timeout,2.10109971,"[8.020904541015625, -0.004284059628844261]","[8.89845085144043, -0.01145113818347454]",0.0,0.8777347813283506,45.160000000000004,0,0,0.0,0,0,,,,,,,20.051031013611425,19.782727099634943,False
navila,simple_nonoutdoor_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,True,success,success,1.490838471,"[8.020904541015625, -0.004284059628844261]","[9.518085479736328, 0.24440790712833405]",1.0,1.5237294225058087,3.5999999989999996,0,0,0.0,0,0,0.6083754599094391,0.5514892339706421,0.808058351278305,0.893467366695404,,,20.296222732396032,18.920191373179886,False
uninavid,simple_nonoutdoor_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,False,timeout,inconclusive_timeout,4.225525884,"[8.02127742767334, -0.00427133496850729]","[7.484874725341797, -2.318296194076538]",0.0,6.593322689676899,45.18,4,0,0.08853474988933156,0,0,0.27756697311997414,0.2827991247177124,0.37217834293842317,0.38587555289268494,,,20.080165533316986,19.52929056904189,False
