model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,navigation_error,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
ticvla,dynanav_full85_noped_fixed,dynanav_011,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,0,0,True,1.495857365,1.0,13.632683664905315,16.02,2,0,0.12484394506866417,0,0,1.183112778971272,1.1764096021652222,1.247115135192871,1.2641010284423828,1.1822029506006548,0.0009098240632503744,20.072370528029843,19.623734150995453,False
ticvla,dynanav_full85_noped_fixed,dynanav_012,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,10,0,True,1.496415228,1.0,13.72603270985218,15.760000000000002,0,0,0.0,0,0,1.1652375976244609,1.1635464429855347,1.2154816389083862,1.232157826423645,1.164286474386851,0.0009511204475226502,20.058094815200302,19.784515759545123,False
ticvla,dynanav_full85_noped_fixed,dynanav_013,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,20,0,True,1.49806176,1.0,13.687592859964866,15.559999999,0,0,0.0,0,0,1.1664418578147888,1.1656190156936646,1.2180056452751158,1.2478245496749878,1.1654789487520854,0.000962927401997149,20.059363483880297,19.305928714704503,False
ticvla,dynanav_full85_noped_fixed,dynanav_014,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,30,0,True,1.497842704,1.0,13.597769023953711,15.220000000000002,0,0,0.0,0,0,1.1778190414110818,1.1711208820343018,1.2380077362060544,1.2555086612701416,1.1768817504247029,0.0009372815644989411,20.089687944963952,19.191136953406286,False
ticvla,dynanav_full85_noped_fixed,dynanav_015,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,40,0,True,1.493303475,1.0,13.60066456884999,15.519999999,0,0,0.0,0,0,1.1714323676865677,1.1658779382705688,1.2186190366744996,1.257483720779419,1.1704755322686557,0.0009568374491585739,20.04532946656588,19.548700257899387,False
ticvla,dynanav_full85_noped_fixed,dynanav_016,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,0,0,True,1.485875946,0.9022276127052131,23.776239959352218,25.919999998999998,0,0,0.0,0,0,1.1477273410680342,1.1474804878234863,1.2077943801879882,1.2178419828414917,1.1467822181935212,0.0009451271011018936,20.055077256549826,19.155911613415597,False
ticvla,dynanav_full85_noped_fixed,dynanav_017,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,10,0,True,1.496247662,0.8592475091023267,24.965734785553767,26.819999999999997,0,0,0.0,0,0,1.1509186543670356,1.1519358158111572,1.1904127597808838,1.2021973133087158,1.1499252553079642,0.0009934002985520398,20.037427895857395,19.315720509137126,False
ticvla,dynanav_full85_noped_fixed,dynanav_018,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,20,0,True,1.482807019,0.8915541340381227,24.06033301499767,25.82,0,0,0.0,0,0,1.1514955394122066,1.1462247371673584,1.1855013847351075,1.253145456314087,1.1505516548545993,0.0009438781191271787,20.04298279520235,19.00316682996794,False
ticvla,dynanav_full85_noped_fixed,dynanav_019,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,30,0,True,1.496840986,0.8629772016656763,24.857455497998544,26.919999998999998,0,0,0.0,0,0,1.147303411593804,1.1470492482185364,1.1927866041660309,1.197710394859314,1.1463532493664668,0.0009501653347307673,20.031902192961947,19.57213513088685,False
ticvla,dynanav_full85_noped_fixed,dynanav_020,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,40,0,True,1.482014036,0.8778841147764622,24.43480403363727,26.479999999,0,0,0.0,0,0,1.1591392803192138,1.1570260524749756,1.198120194673538,1.2114695310592651,1.1582495141029359,0.0008897647261619568,20.03486005064141,19.514993894043602,False
