model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,success,navigation_error,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity,official_pedestrian_count,effective_pedestrian_count,termination_reason,failure_attribution,start_pose,final_pose
ticvla,dynanav_full85_20260824,dynanav_011,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,True,1.498564575,1.0,13.827269827893996,16.899999999,0,0,0.0,0,0,1.0936433718754694,1.094214677810669,1.1336643993854523,1.137483835220337,1.0926378919528081,0.0010054847315097083,20.07864359139966,19.79902995354665,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_012,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,10,True,1.495920359,1.0,14.630156932171143,19.68,2,0,0.1016260162601626,0,0,1.097066460117217,1.0953047275543213,1.1350125670433044,1.201572060585022,1.0961896104197348,0.000876863419468845,20.07854212568458,19.7002616808666,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_013,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,20,True,1.483871367,1.0,13.666578542497641,16.119999999,1,1,0.0620347394579426,0,0,1.0893818426132202,1.089980125427246,1.12700834274292,1.145514726638794,1.0884967565536499,0.0008850816776975989,20.06804745871001,19.67114485024903,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_014,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,30,True,1.493746925,1.0,13.752694579706793,16.28,2,2,0.12285012285012284,0,0,1.0969780778884888,1.0931309461593628,1.1335334300994873,1.1497879028320312,1.0961137437820434,0.0008643371611833572,20.05534482974081,19.857673702740197,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_015,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,40,False,15.946361668,0.0,88.95395235308092,115.199999999,115,3,0.9982638888975544,0,0,1.0973079862830404,1.0994386672973633,1.1463553845882415,1.2086584568023682,1.0964289602342543,0.0008790317819208153,20.010419767914758,19.60365912957288,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_016,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,0,True,1.484086424,0.877721710648735,24.437632356283157,29.339999999,0,0,0.0,0,0,1.081704998558218,1.077221691608429,1.1333190381526947,1.1762360334396362,1.0807912051677704,0.0009138029074000025,20.05461976865257,19.538116216293208,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_017,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,10,False,19.944902978,0.0,63.64939524608304,95.08000000000001,91,2,0.9570887673538072,0,0,1.0842734909057616,1.0865108966827393,1.1296532869338989,1.1564228534698486,1.0833963374296824,0.0008771611315508684,20.013253381461855,19.593586666880167,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_018,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,20,False,11.359704943,0.0,16.050405021384236,100.12,37,3,0.36955653216140627,10,9,1.0862013355941529,1.0845472812652588,1.1354720354080199,1.1530020236968994,1.0853143869691593,0.0008869445949472534,20.008503999857165,19.25898288904812,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_019,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,30,True,1.483289137,0.8786295732064902,24.41294806868694,29.96,32,2,1.0680907877169559,0,0,1.0734081164650295,1.075300395488739,1.1204920709133148,1.1528677940368652,1.0725423227185789,0.0008658005567469999,20.049940666922236,19.68619496922355,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_020,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move forward toward the staircase, then turn left to enter the hallway. Continue straight ahead and stop in front of the blue hospital bed on the right side of the hallway.",666,40,False,18.974257453,0.0,39.90080407394667,130.159999999,366,5,2.811923786131007,8,8,1.086857107790505,1.0874171257019043,1.1360506772994996,1.159001350402832,1.0859770899865686,0.0008800165875383267,20.009278565006927,19.11204630371011,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_021,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,0,True,1.487487005,0.3574260345508043,70.2533330655679,99.339999999,67,0,0.674451379108863,0,0,1.0870833996853797,1.0886794328689575,1.1304950952529906,1.1431304216384888,1.0861774597292633,0.0009059371058433469,20.01578152694008,18.992428501281132,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_022,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,10,True,1.498080688,0.3765246039293246,66.68985237500222,99.11999999899999,68,1,0.6860371267220142,0,0,1.0891741006605087,1.088510513305664,1.1237363815307617,1.164086937904358,1.088290375278842,0.0008837312189561706,20.009040271787512,19.57568259563331,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_023,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,20,False,12.819653272,0.0,44.147866697962726,145.02,205,0,1.413598124396635,0,0,1.1084222970454674,1.1086265444755554,1.1661786139011383,1.1979758739471436,1.1075164666020774,0.0009058325279814502,20.006914614907927,18.834518843764947,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_024,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,30,True,1.497352003,0.9088977612871505,27.627133256318167,33.7,2,0,0.05934718100890207,0,0,1.0876412661570423,1.0871526002883911,1.1165322065353394,1.147599220275879,1.0867725183378976,0.0008687392197865642,20.027841333798083,19.32534337313339,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_025,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,40,True,1.49306936,0.9151292363247202,27.43933482953149,34.459999999000004,9,0,0.261172373774265,0,0,1.0875300455976415,1.0875717997550964,1.121058577299118,1.1423323154449463,1.0866394285802488,0.000890605653963845,20.03315744294823,19.732481590551387,False,,,,,,
ticvla,dynanav_full85_20260824,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,False,36.286373676,0.0,41.92772912323372,50.2,16,0,0.3187250996015936,0,0,1.0826298571252204,1.0792845487594604,1.1324208974838257,1.1424298286437988,1.0817094096889743,0.0009204371251746432,20.020011717371524,18.790279531073562,False,,,,,,
