model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,termination_reason,failure_attribution,navigation_error,start_pose,final_pose,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
uninavid,uninavid_scene_gate_fix_20260829,dynanav_001,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine at front.,666,0,0,0,False,timeout,inconclusive_timeout,12.328165724,"[-2.9518189430236816, -1.198403000831604]","[-2.3490102291107178, -1.0032066106796265]",0.0,3.3372855059680755,40.1,0,0,0.0,0,0,0.29090050235390663,0.28090597689151764,0.36070372760295866,0.3722887337207794,,,20.046928213807742,19.760499978042443,False
uninavid,uninavid_scene_gate_fix_20260829,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,14.937324252,"[-2.8801803588867188, 9.565110206604004]","[-3.1248815059661865, 9.643671989440918]",0.0,4.4341572104245035,50.019999999,0,0,0.0,0,0,0.2251359224319458,0.241161048412323,0.2818435117602348,0.2853284478187561,,,20.02178436198295,19.617578884027235,False
uninavid,uninavid_scene_gate_fix_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,15.879178947,"[-10.221532821655273, -7.312619686126709]","[-9.532965660095215, -6.972139358520508]",0.0,4.895590424253627,70.09999999899999,0,0,0.0,0,0,0.2272083078111921,0.23819740116596222,0.28915491998195647,0.28920403122901917,,,20.01599580601153,19.472552391924538,False
