model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,termination_reason,failure_attribution,navigation_error,start_pose,final_pose,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
ticvla,simple_vending_all_fixed,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,True,success,success,1.490782946,"[-2.971201181411743, -1.2006897926330566]","[8.049175262451172, 1.81276535987854]",1.0,11.846596130935794,13.76,0,0,0.0,0,0,0.04468851653633244,0.028800418600440025,0.06528157033026208,1.5106854438781738,0.04339260376538291,0.00129591293675317,20.072377002903735,17.55934912430573,False
omnivla,simple_vending_all_fixed,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,timeout,inconclusive_timeout,8.15379567,"[-2.971201181411743, -1.2006897926330566]","[2.786689519882202, -2.2686614990234375]",0.0,6.470129129936586,60.06,4,0,0.0666000666000666,0,0,0.11396101417588743,0.1121261790394783,0.11706468611955642,0.5109727382659912,,,20.009113260100428,19.607356818469167,False
dualvln,simple_vending_all_fixed,simple_vending_machine,hospital,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,timeout,inconclusive_timeout,2.298160079,"[-2.9703242778778076, -1.2005285024642944]","[10.757023811340332, 0.393169641494751]",0.0,25.016462539092004,60.000000001000004,0,0,0.0,0,0,0.8654057719386541,1.0552884936332703,3.609403443336487,3.8036861419677734,,,20.125113611481588,19.053405144914603,False
navila,simple_vending_all_fixed,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,model_stop_before_goal,model_behavior,6.642299114,"[-2.9698901176452637, -1.2004528045654297]","[4.110696792602539, -1.5277515649795532]",0.0,7.093156284481802,12.100000001,0,0,0.0,0,0,0.5501402136352327,0.5417130291461945,0.5570352971553802,0.8130912184715271,,,20.112323787966123,19.57052016560386,False
uninavid,simple_vending_all_fixed,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,timeout,inconclusive_timeout,9.728294185,"[-2.9698901176452637, -1.2004528045654297]","[0.2214209884405136, -0.5313039422035217]",0.0,7.624953907016015,60.100000001,0,0,0.0,0,0,0.3092039693146944,0.2944987267255783,0.44324540346860875,0.49846816062927246,,,20.018764444998116,19.690691115695156,False
