model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,termination_reason,failure_attribution,navigation_error,start_pose,final_pose,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
ticvla,simple_vending_all_20260829,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,True,success,success,1.49725468,"[-2.950195074081421, -1.1982721090316772]","[8.29339599609375, 1.427075743675232]",1.0,12.13358808158185,15.600000000000001,0,0,0.0,0,0,0.042392355475672765,0.029749157838523388,0.0824847273528575,1.104012131690979,0.040900522181274074,0.001491833095267219,20.09186231576366,18.727824156784415,False
omnivla,simple_vending_all_20260829,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,timeout,inconclusive_timeout,8.531112493,"[-2.950195074081421, -1.1982721090316772]","[2.317168712615967, -2.241553544998169]",0.0,11.114983121487798,60.079999999,2,0,0.033288948069795085,11,10,0.12023645171260468,0.11756616830825806,0.12329306453466415,0.6807513236999512,,,20.011605839136752,19.188424074853135,False
dualvln,simple_vending_all_20260829,simple_vending_machine,hospital,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,timeout,inconclusive_timeout,9.92858708,"[-2.950601816177368, -1.198305606842041]","[-0.39699602127075195, 1.8503284454345703]",0.0,6.999929069699711,60.120000000000005,0,0,0.0,0,0,0.9760558596812189,1.1235677599906921,1.2466299712657924,3.9732794761657715,,,20.4799561044109,18.94054363293277,False
navila,simple_vending_all_20260829,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,model_stop_before_goal,model_behavior,6.871959411,"[-2.951413154602051, -1.198370337486267]","[3.9217143058776855, -1.6574363708496094]",0.0,6.895818493485046,15.02,0,0,0.0,0,0,0.5558501138136938,0.5447372794151306,0.5719192922115326,0.8298313021659851,,,20.115704402060334,19.448386559527503,False
uninavid,simple_vending_all_20260829,simple_vending_machine,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine.,666,0,0,0,False,timeout,inconclusive_timeout,10.759336959,"[-2.9522249698638916, -1.19843590259552]","[-0.8395912051200867, -0.5755467414855957]",0.0,5.8012951765733085,60.139999999000004,0,0,0.0,0,0,0.3153803676366806,0.2852301597595215,0.45544505715370176,0.4884204864501953,,,20.0179688333768,19.82810419771641,False
